"Gene","Direction","Colon cancer_OR","Psoriasis_OR"
"ALDH2","Negative (OR<1)",0.802841336400228,0.845660366097341
"ARL4C","Negative (OR<1)",0.83040998108761,0.873143833868638
"TYMP","Negative (OR<1)",0.928356099600839,0.961716752017416
"FCER1G","Negative (OR<1)",0.935193959185828,0.937120687198244
"LYZ","Negative (OR<1)",0.899747170543954,0.97131515784096
"LY9","Negative (OR<1)",0.742961893551374,0.772392534647686
